"","means_control","means_uc","fold_change","hmr","mar"
"HMR_4355",0.00027175644028103,0.000971051784647798,0.00214762842475215,"HMR_4355","MAR04355"
"HMR_4358",0,0.000447712644023546,0.00211867047704863,"HMR_4358","MAR04358"
"HMR_4363",0.0307855831033418,0.0846811377077557,0.00827068255992862,"HMR_4363","MAR04363"
"HMR_4365",-0.030785583103343,-0.0845541945114358,-0.00412179627379117,"HMR_4365","MAR04365"
"HMR_4368",0.0518467072251229,0.108990287369715,0.00864454035541244,"HMR_4368","MAR04368"
"HMR_4371",0.0126819672131148,0.0126819672131148,0.0020671373656139,"HMR_4371","MAR04371"
"HMR_4373",-0.0645286744382377,-0.12167225458283,-0.00451026562418464,"HMR_4373","MAR04373"
"HMR_4375",-0.0707646848185086,-0.0919255746449354,-0.000368546567016102,"HMR_4375","MAR04375"
"HMR_4381",0.0343297738975362,0.0732749669066638,0.00654984965434961,"HMR_4381","MAR04381"
"HMR_4391",-0.0184639886639375,-0.00100708716303785,0.00407648077451653,"HMR_4391","MAR04391"
"HMR_4394",0.0357102542225673,0.0152114786881914,-0.000292335162111039,"HMR_4394","MAR04394"
"HMR_4396",-0.0347116908835695,-0.0541990256100233,-0.000175915193722678,"HMR_4396","MAR04396"
"HMR_3944",0.0347116908835715,0.0558090308205933,0.00449550650922444,"HMR_3944","MAR03944"
"HMR_4128",0.0450035315988641,0.0239061916618423,-0.000361231777996652,"HMR_4128","MAR04128"
"HMR_4130",0.0450035315988641,0.0239061916618422,-0.000361231777996659,"HMR_4130","MAR04130"
"HMR_8767",0.0450035315988641,0.0239061916618422,-0.000361231777996659,"HMR_8767","MAR08767"
"HMR_0454",0,8.66010322639321e-05,0.0020771054125422,"HMR_0454","MAR00454"
"HMR_4193",0.00371948281541446,0.00558987203874471,0.00228242495589946,"HMR_4193","MAR04193"
"HMR_4304",0.000154791569086651,0.000199520010103754,0.00207228574765315,"HMR_4304","MAR04304"
"HMR_4350",0,0.00325028758704199,0.00244125552969498,"HMR_4350","MAR04350"
"HMR_4352",0.0394931462628766,0.0777701125216202,0.00647293468656639,"HMR_4352","MAR04352"
"HMR_4354",0.0610514289961886,0.121717165971346,0.00904995151112372,"HMR_4354","MAR04354"
"HMR_4404",0.0197465731314383,0.0388850562608101,0.00427003602609015,"HMR_4404","MAR04404"
"HMR_4477",-0.0165437400563212,-0.0409303547817653,-0.000739837489660043,"HMR_4477","MAR04477"
"HMR_4501",0.0197465731314383,0.0388850562608101,0.00427003602609015,"HMR_4501","MAR04501"
"HMR_4565",0.0200183295717194,0.0398561080454579,0.0043505270852284,"HMR_4565","MAR04565"
"HMR_4567",0.00027175644028103,0.000944667664232164,0.00214459153080771,"HMR_4567","MAR04567"
"HMR_8653",0.000154791569086651,0.000199520010103754,0.00207228574765315,"HMR_8653","MAR08653"
"HMR_4002",1.29119795034078,1.13788333723716,-0.0155798492609835,"HMR_4002","MAR04002"
