"","means_1","means_2","means_3","hmr","mar"
"HMR_4355",0.000870033588326024,0,0.00339205466877364,"HMR_4355","MAR04355"
"HMR_4358",0.000325309650153594,0,0.001818374253548,"HMR_4358","MAR04358"
"HMR_4363",0.0800810252836142,0.0866919653031205,0.0619502243687128,"HMR_4363","MAR04363"
"HMR_4365",-0.0799332159933824,-0.0865880425061846,-0.0619502243687128,"HMR_4365","MAR04365"
"HMR_4368",0.103785014846394,0.112258181372167,0.0834966278481373,"HMR_4368","MAR04368"
"HMR_4371",0.0126819672131148,0.0126819672131148,0.0126819672131148,"HMR_4371","MAR04371"
"HMR_4373",-0.116466982059509,-0.124940148585282,-0.0961785950612521,"HMR_4373","MAR04373"
"HMR_4375",-0.0902791037902164,-0.089443392699459,-0.090572678935993,"HMR_4375","MAR04375"
"HMR_4381",0.0676276085680249,0.0777634113137725,0.0596903631895168,"HMR_4381","MAR04381"
"HMR_4391",-0.00187176589080095,0.000991380340753689,-0.0146219094616549,"HMR_4391","MAR04391"
"HMR_4394",0.0176581752022485,0.0110756329444979,0.0292432680169236,"HMR_4394","MAR04394"
"HMR_4396",-0.0513315508465326,-0.0540082892363353,-0.0537692000016695,"HMR_4396","MAR04396"
"HMR_3944",0.053491052891026,0.0548168006972762,0.0537692000016695,"HMR_3944","MAR03944"
"HMR_4128",0.0262241695914096,0.0248984217851594,0.0259460224807661,"HMR_4128","MAR04128"
"HMR_4130",0.0262241695914097,0.024898421785159,0.0259460224807661,"HMR_4130","MAR04130"
"HMR_8767",0.0262241695914097,0.024898421785159,0.0259460224807661,"HMR_8767","MAR08767"
"HMR_0454",5.49668996293496e-05,0.000152943892865389,0,"HMR_0454","MAR00454"
"HMR_4193",0.00715986838585836,0.00328199045118764,0.00298495318754879,"HMR_4193","MAR04193"
"HMR_4304",0.000118829408619005,0.000279128513004137,0.000331696219471395,"HMR_4304","MAR04304"
"HMR_4350",0.00392149697862815,0.00241590319218132,0,"HMR_4350","MAR04350"
"HMR_4352",0.0722430985125689,0.0831985401193926,0.0617334373263635,"HMR_4352","MAR04352"
"HMR_4354",0.114097854349355,0.129025422973144,0.0944118655914191,"HMR_4354","MAR04354"
"HMR_4404",0.0361215492562845,0.0415992700596963,0.0308667186631818,"HMR_4404","MAR04404"
"HMR_4477",-0.0302141590000181,-0.0579503529303516,-0.0289590941111717,"HMR_4477","MAR04477"
"HMR_4501",0.0361215492562845,0.0415992700596963,0.0308667186631818,"HMR_4501","MAR04501"
"HMR_4565",0.0369915828446105,0.0415992700596963,0.0342587733319554,"HMR_4565","MAR04565"
"HMR_4567",0.000870033588326024,0,0.00319794292571576,"HMR_4567","MAR04567"
"HMR_8653",0.000118829408619005,0.000279128513004137,0.000331696219471395,"HMR_8653","MAR08653"
"HMR_4002",1.14575638436307,1.1464589512767,1.18993857581841,"HMR_4002","MAR04002"
"HMR_4004",-0.00775644028103045,-0.00775644028102862,-0.00775644028101768,"HMR_4004","MAR04004"
"HMR_4020",-0.753130679156909,-0.753130679156909,-0.753130679156909,"HMR_4020","MAR04020"
"HMR_4080",0,0,0.000398739474431014,"HMR_4080","MAR04080"
"HMR_4085",0.0464320158240723,0.0415905073340075,0.0814258716835201,"HMR_4085","MAR04085"
"HMR_4171",0.0287955550449159,0.0333919133882832,0.0316708786852675,"HMR_4171","MAR04171"
