"","row"
"1","TBC1D3K"
"2","TBC1D3"
"3","DEFB4B"
"4","SERPINB3"
"5","DEFB4A"
"6","SERPINB4"
"7","SAA1"
"8","SPRR1B"
"9","REG1A"
"10","S100A12"
"11","PROK2"
"12","SAA2-SAA4"
"13","AQP9"
"14","SAA4"
"15","SERPINB7"
"16","S100A8"
"17","MCEMP1"
"18","CXCL17"
"19","CSF3"
"20","CXCR1"
"21","MMP3"
"22","CHI3L1"
"23","DUOXA2"
"24","REG1B"
"25","HCAR3"
"26","WNT2"
"27","TCN1"
"28","IL17A"
"29","REG3A"
"30","MMP10"
"31","SAA2"
"32","MMP7"
"33","TNIP3"
"34","FCGR3B"
"35","IGHG3"
"36","HCAR2"
"37","CXCL5"
"38","KRT6B"
"39","TREM1"
"40","FPR2"
"41","ABCA12"
"42","S100A9"
"43","MMP1"
"44","KCNJ15"
"45","TNFRSF6B"
"46","SLC6A14"
"47","LILRA3"
"48","OSM"
"49","CXCR2"
"50","DUOX2"
"51","CLDN2"
"52","VSIG1"
"53","FPR1"
"54","CD300E"
"55","IL13RA2"
"56","CXCL8"
"57","IL26"
"58","IGHG1"
"59","PLA2G3"
"60","C4BPA"
"61","FCN3"
"62","DMBT1"
"63","IGHGP"
"64","SELE"
"65","IGHV1-24"
"66","IGKV2D-40"
"67","LCNL1"
"68","CCN4"
"69","IDO1"
"70","PI3"
"71","CSF3R"
"72","INHBA"
"73","C4BPB"
"74","CXCL1"
"75","BMP3"
"76","ADGRG3"
"77","FER1L4"
"78","CYP3A4"
"79","NFE2"
"80","FCAR"
