"","means_0","means_1","means_2","means_3","means_4","subsystem","hmr","mar"
"HMR_4355",0.00027175644028103,0,0.00150191559132894,8.91004722232887e-05,0.00160136616981746,"Glycolysis / Gluconeogenesis","HMR_4355","MAR04355"
"HMR_4358",0,0,0.000909187126774002,0.000657277997466407,1.76864887544293e-05,"Glycolysis / Gluconeogenesis","HMR_4358","MAR04358"
"HMR_4363",0.0307855831033418,0.0976791236458926,0.0797441339971363,0.0820063794384113,0.0872850905115522,"Glycolysis / Gluconeogenesis","HMR_4363","MAR04363"
"HMR_4365",-0.030785583103343,-0.0976791236458926,-0.0797441339971363,-0.0818854201173875,-0.0870130357309803,"Glycolysis / Gluconeogenesis","HMR_4365","MAR04365"
"HMR_4368",0.0518467072251229,0.125534158774698,0.1053345321236,0.10626924934916,0.109567507441261,"Glycolysis / Gluconeogenesis","HMR_4368","MAR04368"
"HMR_4371",0.0126819672131148,0.0126819672131148,0.0126819672131148,0.0126819672131148,0.0126819672131148,"Glycolysis / Gluconeogenesis","HMR_4371","MAR04371"
"HMR_4373",-0.0645286744382377,-0.138216125987813,-0.118016499336715,-0.118951216562275,-0.122249474654375,"Glycolysis / Gluconeogenesis","HMR_4373","MAR04373"
"HMR_4375",-0.0707646848185086,-0.0987692177776598,-0.0911698636357697,-0.0900244050027481,-0.0922359848193154,"Glycolysis / Gluconeogenesis","HMR_4375","MAR04375"
"HMR_4381",0.0343297738975362,0.0758213431009318,0.0722567031026357,0.0714354534044842,0.0749895404251157,"Glycolysis / Gluconeogenesis","HMR_4381","MAR04381"
"HMR_4391",-0.0184639886639375,0.00602672846296598,-0.00262422553464037,-0.00225674336984402,-0.000628645642677833,"Glycolysis / Gluconeogenesis","HMR_4391","MAR04391"
"HMR_4394",0.0357102542225673,0.0068789307691661,0.0155439111601773,0.0179947525527542,0.0148963342564662,"Glycolysis / Gluconeogenesis","HMR_4394","MAR04394"
"HMR_4396",-0.0347116908835695,-0.0492321954320284,-0.0525542300421604,-0.0569319409992622,-0.0545575374450471,"Glycolysis / Gluconeogenesis","HMR_4396","MAR04396"
"HMR_3944",0.0347116908835715,0.0492321954320286,0.0536446729160313,0.0583749479533743,0.0572035207528706,"Galactose metabolism","HMR_3944","MAR03944"
"HMR_4128",0.0450035315988641,0.030483027050407,0.0260705495664043,0.0213402745290613,0.022511701729565,"Galactose metabolism","HMR_4128","MAR04128"
